sub_img_name,image_name,class_id,confidence_score,x_min,y_min,x_max,y_max
3VAIPE_P_6_2.jpg,VAIPE_P_6_2.jpg,89,0.937405,1352,2906,1874,3686
0VAIPE_P_1_2.jpg,VAIPE_P_1_2.jpg,91,0.906763,1246,2097,1936,2719
1VAIPE_P_1_2.jpg,VAIPE_P_1_2.jpg,43,0.93439,748,1661,1578,2254
2VAIPE_P_1_2.jpg,VAIPE_P_1_2.jpg,43,0.940904,915,1842,1770,2551
0VAIPE_P_1_4.jpg,VAIPE_P_1_4.jpg,107,0.897794,314,767,414,866
1VAIPE_P_1_4.jpg,VAIPE_P_1_4.jpg,107,0.898933,497,854,644,933
2VAIPE_P_1_4.jpg,VAIPE_P_1_4.jpg,107,0.899445,353,682,446,774
3VAIPE_P_1_4.jpg,VAIPE_P_1_4.jpg,107,0.90097,161,704,302,908
4VAIPE_P_1_4.jpg,VAIPE_P_1_4.jpg,107,0.917188,160,547,442,724
0VAIPE_P_0_9.jpg,VAIPE_P_0_9.jpg,37,0.872042,1380,1596,1605,1908
1VAIPE_P_0_9.jpg,VAIPE_P_0_9.jpg,8,0.890413,1014,2464,1308,2943
0VAIPE_P_2_12.jpg,VAIPE_P_2_12.jpg,107,0.694696,2199,2210,2781,2809
1VAIPE_P_2_12.jpg,VAIPE_P_2_12.jpg,107,0.804414,1938,1226,2399,1717
2VAIPE_P_2_12.jpg,VAIPE_P_2_12.jpg,107,0.817085,2829,1517,3316,2028
3VAIPE_P_2_12.jpg,VAIPE_P_2_12.jpg,107,0.857415,2983,873,3772,1446
4VAIPE_P_2_12.jpg,VAIPE_P_2_12.jpg,107,0.864133,917,1165,1782,2013
0VAIPE_P_0_10.jpg,VAIPE_P_0_10.jpg,56,0.878724,1104,1848,1707,2467
0VAIPE_P_0_7.jpg,VAIPE_P_0_7.jpg,8,0.405188,1150,2141,1504,2567
1VAIPE_P_0_7.jpg,VAIPE_P_0_7.jpg,37,0.783163,1145,2138,1497,2581
2VAIPE_P_0_7.jpg,VAIPE_P_0_7.jpg,8,0.882859,1449,1880,1815,2512
0VAIPE_P_2_2.jpg,VAIPE_P_2_2.jpg,64,0.843381,804,743,1160,1054
1VAIPE_P_2_2.jpg,VAIPE_P_2_2.jpg,41,0.853544,1867,2222,2165,2535
2VAIPE_P_2_2.jpg,VAIPE_P_2_2.jpg,64,0.87551,1123,2311,1551,2745
0VAIPE_P_8_0.jpg,VAIPE_P_8_0.jpg,45,0.681218,1062,2056,1493,2469
1VAIPE_P_8_0.jpg,VAIPE_P_8_0.jpg,45,0.823955,727,2060,1037,2339
2VAIPE_P_8_0.jpg,VAIPE_P_8_0.jpg,54,0.886966,1057,2047,1495,2470
3VAIPE_P_8_0.jpg,VAIPE_P_8_0.jpg,38,0.887287,954,1650,1348,2119
0VAIPE_P_0_6.jpg,VAIPE_P_0_6.jpg,56,0.875531,734,2472,1309,2994
0VAIPE_P_8_7.jpg,VAIPE_P_8_7.jpg,54,0.893265,1942,997,2422,1459
0VAIPE_P_5_0.jpg,VAIPE_P_5_0.jpg,61,0.92337,1020,2639,1672,3400
1VAIPE_P_5_0.jpg,VAIPE_P_5_0.jpg,89,0.930474,1625,2205,2321,2682
2VAIPE_P_5_0.jpg,VAIPE_P_5_0.jpg,61,0.933116,1933,1404,2384,2228
3VAIPE_P_5_0.jpg,VAIPE_P_5_0.jpg,89,0.933289,1622,2752,2244,3384
0VAIPE_P_0_2.jpg,VAIPE_P_0_2.jpg,37,0.81225,1324,2349,1647,2756
1VAIPE_P_0_2.jpg,VAIPE_P_0_2.jpg,8,0.886918,768,1901,1304,2308
0VAIPE_P_0_3.jpg,VAIPE_P_0_3.jpg,56,0.865502,1306,1913,1880,2334
0VAIPE_P_6_1.jpg,VAIPE_P_6_1.jpg,61,0.901489,772,2099,1116,2912
1VAIPE_P_6_1.jpg,VAIPE_P_6_1.jpg,89,0.923691,1113,3200,1788,3638
2VAIPE_P_6_1.jpg,VAIPE_P_6_1.jpg,61,0.924968,2110,2178,2579,2946
3VAIPE_P_6_1.jpg,VAIPE_P_6_1.jpg,89,0.952275,1506,2676,2048,3279
0VAIPE_P_6_5.jpg,VAIPE_P_6_5.jpg,107,0.848263,1411,1304,1594,1464
1VAIPE_P_6_5.jpg,VAIPE_P_6_5.jpg,107,0.868924,1226,1344,1431,1517
2VAIPE_P_6_5.jpg,VAIPE_P_6_5.jpg,107,0.876802,1679,1262,1876,1447
3VAIPE_P_6_5.jpg,VAIPE_P_6_5.jpg,107,0.899321,1418,853,1706,1255
4VAIPE_P_6_5.jpg,VAIPE_P_6_5.jpg,107,0.899887,1283,1431,1859,1686
0VAIPE_P_0_17.jpg,VAIPE_P_0_17.jpg,37,0.870665,1529,2477,1933,2756
1VAIPE_P_0_17.jpg,VAIPE_P_0_17.jpg,8,0.879199,825,1836,1404,2090
0VAIPE_P_0_13.jpg,VAIPE_P_0_13.jpg,37,0.791581,1144,2207,1466,2406
1VAIPE_P_0_13.jpg,VAIPE_P_0_13.jpg,8,0.894101,2095,2206,2353,2656
0VAIPE_P_4_0.jpg,VAIPE_P_4_0.jpg,61,0.905186,739,2453,1051,3237
1VAIPE_P_4_0.jpg,VAIPE_P_4_0.jpg,89,0.929921,1320,1842,1761,2455
2VAIPE_P_4_0.jpg,VAIPE_P_4_0.jpg,61,0.937311,2057,2445,2596,3165
3VAIPE_P_4_0.jpg,VAIPE_P_4_0.jpg,89,0.947074,999,3574,1681,3999
0VAIPE_P_2_7.jpg,VAIPE_P_2_7.jpg,41,0.845258,1754,1313,2048,1593
1VAIPE_P_2_7.jpg,VAIPE_P_2_7.jpg,64,0.865969,929,1624,1274,1961
2VAIPE_P_2_7.jpg,VAIPE_P_2_7.jpg,64,0.885064,1221,1525,1587,1889
0VAIPE_P_1_0.jpg,VAIPE_P_1_0.jpg,70,0.858679,607,2826,1019,3252
1VAIPE_P_1_0.jpg,VAIPE_P_1_0.jpg,91,0.929098,548,2228,1252,2626
2VAIPE_P_1_0.jpg,VAIPE_P_1_0.jpg,43,0.937237,1091,2223,1571,3117
3VAIPE_P_1_0.jpg,VAIPE_P_1_0.jpg,43,0.946415,1417,2192,1899,3067
0VAIPE_P_7_0.jpg,VAIPE_P_7_0.jpg,43,0.920618,608,1827,1015,2787
1VAIPE_P_7_0.jpg,VAIPE_P_7_0.jpg,2,0.934128,949,1784,1310,2608
2VAIPE_P_7_0.jpg,VAIPE_P_7_0.jpg,2,0.940322,1266,1893,1795,2726
3VAIPE_P_7_0.jpg,VAIPE_P_7_0.jpg,43,0.950757,598,2447,1528,3201
0VAIPE_P_9_3.jpg,VAIPE_P_9_3.jpg,62,0.867059,1300,2109,1773,2400
1VAIPE_P_9_3.jpg,VAIPE_P_9_3.jpg,62,0.879963,1111,1909,1376,2415
2VAIPE_P_9_3.jpg,VAIPE_P_9_3.jpg,62,0.88982,1343,1907,1841,2125
0VAIPE_P_0_8.jpg,VAIPE_P_0_8.jpg,56,0.886248,847,1654,1397,2054
0VAIPE_P_2_4.jpg,VAIPE_P_2_4.jpg,64,0.781224,1919,2407,2473,2919
1VAIPE_P_2_4.jpg,VAIPE_P_2_4.jpg,41,0.855538,1186,2140,1607,2613
2VAIPE_P_2_4.jpg,VAIPE_P_2_4.jpg,64,0.858555,716,1795,1287,2350
0VAIPE_P_2_3.jpg,VAIPE_P_2_3.jpg,41,0.798186,1280,1907,1699,2261
1VAIPE_P_2_3.jpg,VAIPE_P_2_3.jpg,64,0.861918,2044,1886,2576,2408
2VAIPE_P_2_3.jpg,VAIPE_P_2_3.jpg,64,0.86648,804,1609,1323,2095
0VAIPE_P_7_3.jpg,VAIPE_P_7_3.jpg,107,0.836645,666,1811,1138,2076
1VAIPE_P_7_3.jpg,VAIPE_P_7_3.jpg,107,0.864403,714,907,1201,1188
2VAIPE_P_7_3.jpg,VAIPE_P_7_3.jpg,107,0.877852,1315,1471,1740,1882
3VAIPE_P_7_3.jpg,VAIPE_P_7_3.jpg,107,0.885625,1200,992,1607,1391
4VAIPE_P_7_3.jpg,VAIPE_P_7_3.jpg,107,0.887911,163,944,580,1349
5VAIPE_P_7_3.jpg,VAIPE_P_7_3.jpg,107,0.90766,488,1314,1039,1853
0VAIPE_P_0_15.jpg,VAIPE_P_0_15.jpg,37,0.862157,1648,2337,1922,2707
1VAIPE_P_0_15.jpg,VAIPE_P_0_15.jpg,8,0.898644,705,2044,1045,2573
0VAIPE_P_9_4.jpg,VAIPE_P_9_4.jpg,107,0.868688,2548,639,2982,1087
1VAIPE_P_9_4.jpg,VAIPE_P_9_4.jpg,107,0.886012,2945,1465,3397,1913
2VAIPE_P_9_4.jpg,VAIPE_P_9_4.jpg,107,0.90207,1595,427,2253,1311
3VAIPE_P_9_4.jpg,VAIPE_P_9_4.jpg,107,0.907667,2158,1743,2805,2423
4VAIPE_P_9_4.jpg,VAIPE_P_9_4.jpg,107,0.91734,1308,1830,2043,2894
0VAIPE_P_8_5.jpg,VAIPE_P_8_5.jpg,54,0.88141,1120,1202,1602,1681
0VAIPE_P_0_18.jpg,VAIPE_P_0_18.jpg,56,0.861077,1058,1606,1450,2186
0VAIPE_P_0_1.jpg,VAIPE_P_0_1.jpg,37,0.741315,1284,1761,1678,2125
1VAIPE_P_0_1.jpg,VAIPE_P_0_1.jpg,8,0.927027,1701,2862,2261,3393
0VAIPE_P_7_1.jpg,VAIPE_P_7_1.jpg,75,0.932265,1419,1405,1833,1849
1VAIPE_P_7_1.jpg,VAIPE_P_7_1.jpg,2,0.935461,264,1944,1143,2609
2VAIPE_P_7_1.jpg,VAIPE_P_7_1.jpg,43,0.939762,520,1703,1425,2422
3VAIPE_P_7_1.jpg,VAIPE_P_7_1.jpg,2,0.940063,654,1365,1498,1761
4VAIPE_P_7_1.jpg,VAIPE_P_7_1.jpg,43,0.958532,1034,1636,1909,2410
0VAIPE_P_7_2.jpg,VAIPE_P_7_2.jpg,107,0.898194,1983,1394,2332,1721
1VAIPE_P_7_2.jpg,VAIPE_P_7_2.jpg,107,0.923168,1362,1103,1840,1587
2VAIPE_P_7_2.jpg,VAIPE_P_7_2.jpg,107,0.933334,2177,1679,2902,2461
3VAIPE_P_7_2.jpg,VAIPE_P_7_2.jpg,107,0.934432,2988,1910,3616,2504
4VAIPE_P_7_2.jpg,VAIPE_P_7_2.jpg,107,0.935,2984,1050,3619,1682
5VAIPE_P_7_2.jpg,VAIPE_P_7_2.jpg,107,0.936965,2411,765,2856,1180
0VAIPE_P_0_12.jpg,VAIPE_P_0_12.jpg,8,0.842448,1216,2173,1804,2625
1VAIPE_P_0_12.jpg,VAIPE_P_0_12.jpg,37,0.850599,1296,1164,1690,1433
0VAIPE_P_9_5.jpg,VAIPE_P_9_5.jpg,107,0.862996,1165,674,1778,1285
1VAIPE_P_9_5.jpg,VAIPE_P_9_5.jpg,107,0.863405,2912,726,3749,1200
2VAIPE_P_9_5.jpg,VAIPE_P_9_5.jpg,107,0.890017,2081,15,2516,862
3VAIPE_P_9_5.jpg,VAIPE_P_9_5.jpg,107,0.893313,2354,1260,2735,1644
4VAIPE_P_9_5.jpg,VAIPE_P_9_5.jpg,107,0.914876,2416,2145,2794,2542
0VAIPE_P_0_5.jpg,VAIPE_P_0_5.jpg,56,0.882226,1442,1972,2058,2466
0VAIPE_P_6_4.jpg,VAIPE_P_6_4.jpg,107,0.888423,1177,1249,1437,1527
1VAIPE_P_6_4.jpg,VAIPE_P_6_4.jpg,107,0.89405,1695,394,1931,669
2VAIPE_P_6_4.jpg,VAIPE_P_6_4.jpg,107,0.899182,2239,695,2492,964
3VAIPE_P_6_4.jpg,VAIPE_P_6_4.jpg,107,0.920315,1954,2411,2699,2860
4VAIPE_P_6_4.jpg,VAIPE_P_6_4.jpg,107,0.930438,3341,372,3843,1150
5VAIPE_P_6_4.jpg,VAIPE_P_6_4.jpg,107,0.949572,1652,852,2492,1685
0VAIPE_P_9_2.jpg,VAIPE_P_9_2.jpg,62,0.797079,1231,1143,1652,1752
1VAIPE_P_9_2.jpg,VAIPE_P_9_2.jpg,62,0.825153,1541,1299,2100,1695
2VAIPE_P_9_2.jpg,VAIPE_P_9_2.jpg,62,0.870454,1900,1565,2511,1889
0VAIPE_P_1_1.jpg,VAIPE_P_1_1.jpg,91,0.915651,1204,1962,1651,2700
1VAIPE_P_1_1.jpg,VAIPE_P_1_1.jpg,43,0.940289,842,1829,1367,2821
2VAIPE_P_1_1.jpg,VAIPE_P_1_1.jpg,43,0.951269,719,2576,1711,3326
0VAIPE_P_0_11.jpg,VAIPE_P_0_11.jpg,56,0.888087,1211,1935,1905,2374
0VAIPE_P_3_1.jpg,VAIPE_P_3_1.jpg,79,0.856924,1135,1670,1687,1984
1VAIPE_P_3_1.jpg,VAIPE_P_3_1.jpg,64,0.915645,1683,2025,2096,2431
2VAIPE_P_3_1.jpg,VAIPE_P_3_1.jpg,64,0.920183,1229,2394,1637,2800
0VAIPE_P_9_1.jpg,VAIPE_P_9_1.jpg,62,0.882962,1033,2423,1373,3098
1VAIPE_P_9_1.jpg,VAIPE_P_9_1.jpg,62,0.885792,448,2890,1141,3237
2VAIPE_P_9_1.jpg,VAIPE_P_9_1.jpg,62,0.886869,701,2265,1157,2927
0VAIPE_P_5_1.jpg,VAIPE_P_5_1.jpg,107,0.823752,2099,515,2480,990
1VAIPE_P_5_1.jpg,VAIPE_P_5_1.jpg,107,0.844279,2391,874,2800,1254
2VAIPE_P_5_1.jpg,VAIPE_P_5_1.jpg,107,0.87454,1683,2394,2146,2861
3VAIPE_P_5_1.jpg,VAIPE_P_5_1.jpg,107,0.889712,2025,1078,2479,1917
4VAIPE_P_5_1.jpg,VAIPE_P_5_1.jpg,107,0.897923,661,1202,1556,1976
5VAIPE_P_5_1.jpg,VAIPE_P_5_1.jpg,107,0.898505,3000,1107,3749,2233
